Energy_eV,Li6_barn,Li7_barn,B10_barn,Gd155_barn,Gd157_barn,H1_barn,O16_barn
1.356004e-04,1.282141e+04,6.203091e-01,5.250210e+04,6.706152e+05,2.637585e+06,4.535907e+00,2.595688e-03
1.375354e-04,1.273064e+04,6.159174e-01,5.213042e+04,6.659502e+05,2.619235e+06,4.504302e+00,2.577312e-03
1.394980e-04,1.263987e+04,6.115258e-01,5.175873e+04,6.612851e+05,2.600885e+06,4.472697e+00,2.558936e-03
1.414887e-04,1.255048e+04,6.072007e-01,5.139268e+04,6.566201e+05,2.582535e+06,4.441092e+00,2.540839e-03
1.435077e-04,1.246320e+04,6.029780e-01,5.103530e+04,6.519550e+05,2.564184e+06,4.409487e+00,2.523170e-03
1.455556e-04,1.237592e+04,5.987554e-01,5.067791e+04,6.472900e+05,2.545834e+06,4.377881e+00,2.505501e-03
1.476327e-04,1.228865e+04,5.945327e-01,5.032053e+04,6.427931e+05,2.528146e+06,4.346402e+00,2.487832e-03
1.497394e-04,1.220137e+04,5.903100e-01,4.996315e+04,6.383228e+05,2.510562e+06,4.316386e+00,2.470163e-03
1.518762e-04,1.211410e+04,5.860874e-01,4.960576e+04,6.338524e+05,2.492978e+06,4.286370e+00,2.452494e-03
1.540434e-04,1.202809e+04,5.819262e-01,4.925358e+04,6.293821e+05,2.475394e+06,4.256354e+00,2.435082e-03
1.562416e-04,1.194449e+04,5.778811e-01,4.891123e+04,6.249118e+05,2.457810e+06,4.226337e+00,2.418156e-03
1.584712e-04,1.186088e+04,5.738361e-01,4.856887e+04,6.204634e+05,2.440313e+06,4.196321e+00,2.401230e-03
1.607326e-04,1.177728e+04,5.697911e-01,4.822652e+04,6.161654e+05,2.423407e+06,4.166305e+00,2.384305e-03
1.630263e-04,1.169367e+04,5.657460e-01,4.788417e+04,6.118673e+05,2.406502e+06,4.136289e+00,2.367379e-03
1.653527e-04,1.161007e+04,5.617010e-01,4.754182e+04,6.075692e+05,2.389596e+06,4.107161e+00,2.350453e-03
1.677122e-04,1.152737e+04,5.576999e-01,4.720318e+04,6.032712e+05,2.372690e+06,4.078440e+00,2.333710e-03
1.701055e-04,1.144719e+04,5.538206e-01,4.687486e+04,5.989731e+05,2.355785e+06,4.049718e+00,2.317479e-03
1.725329e-04,1.136702e+04,5.499414e-01,4.654654e+04,5.948016e+05,2.339377e+06,4.020997e+00,2.301247e-03
1.749950e-04,1.128684e+04,5.460622e-01,4.621823e+04,5.906575e+05,2.323077e+06,3.992275e+00,2.285015e-03
1.774921e-04,1.120666e+04,5.421830e-01,4.588991e+04,5.865133e+05,2.306777e+06,3.964268e+00,2.268783e-03
