Energy_eV,Gd_0.1pct_Sigma_total_cm-1,Gd_0.1pct_Sigma_dopant_cm-1,Gd_0.3pct_Sigma_total_cm-1,Gd_0.3pct_Sigma_dopant_cm-1,Gd_0.5pct_Sigma_total_cm-1,Gd_0.5pct_Sigma_dopant_cm-1,B_0.1pct_Sigma_total_cm-1,B_0.1pct_Sigma_dopant_cm-1,B_0.3pct_Sigma_total_cm-1,B_0.3pct_Sigma_dopant_cm-1,B_0.5pct_Sigma_total_cm-1,B_0.5pct_Sigma_dopant_cm-1,Li_0.1pct_Sigma_total_cm-1,Li_0.1pct_Sigma_dopant_cm-1,Li_0.3pct_Sigma_total_cm-1,Li_0.3pct_Sigma_dopant_cm-1,Li_0.5pct_Sigma_total_cm-1,Li_0.5pct_Sigma_dopant_cm-1
1.713312e-05,6.360833e+00,5.508730e+00,1.737659e+01,1.652619e+01,2.839234e+01,2.754365e+01,9.346209e+00,8.494106e+00,2.633272e+01,2.548232e+01,4.331922e+01,4.247053e+01,4.254497e+00,3.402394e+00,1.105758e+01,1.020718e+01,1.786066e+01,1.701197e+01
1.737761e-05,6.315575e+00,5.469487e+00,1.725286e+01,1.640846e+01,2.819014e+01,2.734744e+01,9.279735e+00,8.433647e+00,2.614534e+01,2.530094e+01,4.301094e+01,4.216824e+01,4.224264e+00,3.378176e+00,1.097892e+01,1.013453e+01,1.773358e+01,1.689088e+01
1.762559e-05,6.270360e+00,5.430245e+00,1.712917e+01,1.629073e+01,2.798797e+01,2.715122e+01,9.213660e+00,8.373545e+00,2.595907e+01,2.512063e+01,4.270448e+01,4.186772e+01,4.194216e+00,3.354101e+00,1.090074e+01,1.006230e+01,1.760725e+01,1.677050e+01
1.787711e-05,6.226245e+00,5.392061e+00,1.700870e+01,1.617618e+01,2.779115e+01,2.696030e+01,9.149599e+00,8.315415e+00,2.577876e+01,2.494625e+01,4.240792e+01,4.157708e+01,4.165000e+00,3.330816e+00,1.082496e+01,9.992448e+00,1.748492e+01,1.665408e+01
1.813221e-05,6.182791e+00,5.354496e+00,1.689013e+01,1.606349e+01,2.759746e+01,2.677248e+01,9.085575e+00,8.257280e+00,2.559848e+01,2.477184e+01,4.211138e+01,4.128640e+01,4.135826e+00,3.307531e+00,1.074923e+01,9.922593e+00,1.736263e+01,1.653766e+01
1.839096e-05,6.139380e+00,5.316932e+00,1.677160e+01,1.595080e+01,2.740382e+01,2.658466e+01,9.021598e+00,8.199150e+00,2.541825e+01,2.459745e+01,4.181490e+01,4.099575e+01,4.106694e+00,3.284246e+00,1.067354e+01,9.852738e+00,1.724039e+01,1.642123e+01
1.865340e-05,6.096010e+00,5.279368e+00,1.665311e+01,1.583810e+01,2.721021e+01,2.639684e+01,8.957662e+00,8.141020e+00,2.523807e+01,2.442306e+01,4.151847e+01,4.070510e+01,4.077602e+00,3.260960e+00,1.059789e+01,9.782881e+00,1.711817e+01,1.630480e+01
1.891959e-05,6.052680e+00,5.241804e+00,1.653467e+01,1.572541e+01,2.701665e+01,2.620902e+01,8.893761e+00,8.082885e+00,2.505791e+01,2.424865e+01,4.122205e+01,4.041442e+01,4.048552e+00,3.237675e+00,1.052228e+01,9.713026e+00,1.699601e+01,1.618838e+01
1.918957e-05,6.009391e+00,5.204239e+00,1.641626e+01,1.561272e+01,2.682313e+01,2.602120e+01,8.830160e+00,8.025008e+00,2.487856e+01,2.407502e+01,4.092697e+01,4.012504e+01,4.019645e+00,3.214493e+00,1.044702e+01,9.643480e+00,1.687439e+01,1.607247e+01
1.946340e-05,5.967231e+00,5.167763e+00,1.630116e+01,1.550329e+01,2.663508e+01,2.583882e+01,8.768790e+00,7.969322e+00,2.470583e+01,2.390797e+01,4.064288e+01,3.984661e+01,3.991656e+00,3.192188e+00,1.037443e+01,9.576563e+00,1.675720e+01,1.596094e+01
1.974115e-05,5.925503e+00,5.131679e+00,1.618727e+01,1.539504e+01,2.644904e+01,2.565839e+01,8.707461e+00,7.913637e+00,2.453314e+01,2.374091e+01,4.035883e+01,3.956818e+01,3.963705e+00,3.169881e+00,1.030188e+01,9.509642e+00,1.664005e+01,1.584940e+01
2.002285e-05,5.883815e+00,5.095595e+00,1.607343e+01,1.528678e+01,2.626304e+01,2.547797e+01,8.646171e+00,7.857951e+00,2.436049e+01,2.357385e+01,4.007482e+01,3.928975e+01,3.935795e+00,3.147575e+00,1.022937e+01,9.442725e+00,1.652294e+01,1.573788e+01
2.030858e-05,5.842165e+00,5.059510e+00,1.595962e+01,1.517853e+01,2.607707e+01,2.529755e+01,8.584915e+00,7.802260e+00,2.418787e+01,2.340678e+01,3.979082e+01,3.901130e+01,3.907925e+00,3.125269e+00,1.015690e+01,9.375808e+00,1.640587e+01,1.562635e+01
